time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000063, value: val0000000000063"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000070, value: val0000000000070"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000054, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000018, value: val0000000000018"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000056, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000008, value: val0000000000008"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000085, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000090, value: val0000000000090"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000099, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000041, value: val0000000000041"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000023, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000035, value: val0000000000035"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000095, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000083, value: val0000000000083"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000007, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Log items flushed"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000060, value: val0000000000060"
time="2021-03-11T16:30:43-06:00" level=info msg="Log items flushing, threshold 10 met or shutdown signal given."
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000066, value: val0000000000066"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000042, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000064, value: val0000000000064"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000012, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000013, value: val0000000000013"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000063, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000078, value: val0000000000078"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000070, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000044, value: val0000000000044"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000018, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000010, value: val0000000000010"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000008, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000027, value: val0000000000027"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000090, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000030, value: val0000000000030"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000041, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000037, value: val0000000000037"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000035, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000087, value: val0000000000087"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000083, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Log items flushed"
time="2021-03-11T16:30:43-06:00" level=info msg="Log items flushing, threshold 10 met or shutdown signal given."
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000060, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000066, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000088, value: val0000000000088"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000025, value: val0000000000025"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000064, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000062, value: val0000000000062"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000013, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000078, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000006, value: val0000000000006"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000044, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000010, adding new offset"
